id = 17, result = 59627.8333333, COST_COAST = 24, MAX_COST = 13362710, COST_DIAGONAL = 120, COST_TILE = 114, COST_TURN = 30, COST_SLOPE = 160, COST_TUNNEL = 173, COST_NO_ADJ_RAIL = 2, COST_BRIDGE = 281, COST_ADJ_OBST = 15, MAX_BRIDGE_LEN = 18, MAX_TUNNEL_LEN = 15
id = 18, result = 68289.8333333, COST_COAST = 24, MAX_COST = 18648317, COST_DIAGONAL = 120, COST_TILE = 114, COST_TURN = 30, COST_SLOPE = 79, COST_TUNNEL = 173, COST_NO_ADJ_RAIL = 2, COST_BRIDGE = 281, COST_ADJ_OBST = 10, MAX_BRIDGE_LEN = 18, MAX_TUNNEL_LEN = 15
id = 19, result = 90004.8333333, COST_COAST = 24, MAX_COST = 18648317, COST_DIAGONAL = 122, COST_TILE = 114, COST_TURN = 30, COST_SLOPE = 77, COST_TUNNEL = 173, COST_NO_ADJ_RAIL = 2, COST_BRIDGE = 281, COST_ADJ_OBST = 15, MAX_BRIDGE_LEN = 18, MAX_TUNNEL_LEN = 15
id = 20, result = 34610.0, COST_COAST = 13, COST_DIAGONAL = 66, MAX_COST = 18902937, COST_TILE = 135, COST_TURN = 68, COST_SLOPE = 82, COST_TUNNEL = 137, COST_NO_ADJ_RAIL = 100, COST_BRIDGE = 75, COST_ADJ_OBST = 88, MAX_BRIDGE_LEN = 11, MAX_TUNNEL_LEN = 20
id = 21, result = 103154.5, COST_COAST = 14, COST_DIAGONAL = 139, MAX_COST = 5761999, COST_TILE = 57, COST_TURN = 60, COST_SLOPE = 83, COST_TUNNEL = 165, COST_NO_ADJ_RAIL = 5, COST_BRIDGE = 91, COST_ADJ_OBST = 85, MAX_BRIDGE_LEN = 4, MAX_TUNNEL_LEN = 6
id = 22, result = 79546.6666667, COST_COAST = 13, COST_DIAGONAL = 136, MAX_COST = 17314960, COST_TILE = 157, COST_TURN = 35, COST_SLOPE = 185, COST_TUNNEL = 77, COST_NO_ADJ_RAIL = 3, COST_BRIDGE = 204, COST_ADJ_OBST = 62, MAX_BRIDGE_LEN = 8, MAX_TUNNEL_LEN = 20
id = 23, result = 100916.5, COST_COAST = 22, COST_DIAGONAL = 117, MAX_COST = 18340212, COST_TILE = 101, COST_TURN = 52, COST_SLOPE = 112, COST_TUNNEL = 203, COST_NO_ADJ_RAIL = 10, COST_BRIDGE = 95, COST_ADJ_OBST = 13, MAX_BRIDGE_LEN = 12, MAX_TUNNEL_LEN = 17
id = 24, result = 119080.166667, COST_COAST = 18, MAX_COST = 18648317, COST_DIAGONAL = 120, COST_TILE = 114, COST_TURN = 54, COST_SLOPE = 160, COST_TUNNEL = 173, COST_NO_ADJ_RAIL = 2, COST_BRIDGE = 153, COST_ADJ_OBST = 15, MAX_BRIDGE_LEN = 18, MAX_TUNNEL_LEN = 15
id = 25, result = 101950.333333, COST_COAST = 24, MAX_COST = 18648317, COST_DIAGONAL = 120, COST_TILE = 114, COST_TURN = 85, COST_SLOPE = 160, COST_TUNNEL = 173, COST_NO_ADJ_RAIL = 2, COST_BRIDGE = 281, COST_ADJ_OBST = 13, MAX_BRIDGE_LEN = 18, MAX_TUNNEL_LEN = 15
id = 26, result = 69794.8333333, COST_COAST = 11, MAX_COST = 18648317, COST_DIAGONAL = 120, COST_TILE = 114, COST_TURN = 38, COST_SLOPE = 160, COST_TUNNEL = 173, COST_NO_ADJ_RAIL = 2, COST_BRIDGE = 281, COST_ADJ_OBST = 15, MAX_BRIDGE_LEN = 18, MAX_TUNNEL_LEN = 19
id = 27, result = 92998.1666667, COST_COAST = 24, MAX_COST = 18648317, COST_DIAGONAL = 120, COST_TILE = 114, COST_TURN = 88, COST_SLOPE = 160, COST_TUNNEL = 173, COST_NO_ADJ_RAIL = 2, COST_BRIDGE = 281, COST_ADJ_OBST = 12, MAX_BRIDGE_LEN = 18, MAX_TUNNEL_LEN = 15
id = 28, result = 98714.3333333, COST_COAST = 40, COST_DIAGONAL = 132, MAX_COST = 14905872, COST_TILE = 140, COST_TURN = 34, COST_SLOPE = 188, COST_TUNNEL = 161, COST_NO_ADJ_RAIL = 9, COST_BRIDGE = 279, COST_ADJ_OBST = 70, MAX_BRIDGE_LEN = 3, MAX_TUNNEL_LEN = 8
id = 29, result = 46070.6666667, COST_COAST = 16, COST_DIAGONAL = 85, MAX_COST = 8252477, COST_TILE = 197, COST_TURN = 90, COST_SLOPE = 184, COST_TUNNEL = 107, COST_NO_ADJ_RAIL = 68, COST_BRIDGE = 295, COST_ADJ_OBST = 79, MAX_BRIDGE_LEN = 18, MAX_TUNNEL_LEN = 16
id = 30, result = 54458.3333333, COST_COAST = 25, COST_DIAGONAL = 125, MAX_COST = 16754404, COST_TILE = 83, COST_TURN = 89, COST_SLOPE = 78, COST_TUNNEL = 233, COST_NO_ADJ_RAIL = 51, COST_BRIDGE = 256, COST_ADJ_OBST = 17, MAX_BRIDGE_LEN = 19, MAX_TUNNEL_LEN = 10
