id = 18, result = 424257.75, COST_COAST = 13, MAX_COST = 9295524, COST_DIAGONAL = 43, COST_TILE = 190, COST_TURN = 92, COST_SLOPE = 174, COST_TUNNEL = 197, COST_NO_ADJ_RAIL = 52, COST_BRIDGE = 216, COST_ADJ_OBST = 72, MAX_BRIDGE_LEN = 7, MAX_TUNNEL_LEN = 3
id = 19, result = 464380.5, COST_COAST = 13, MAX_COST = 9295524, COST_DIAGONAL = 43, COST_TILE = 185, COST_TURN = 97, COST_SLOPE = 186, COST_TUNNEL = 197, COST_NO_ADJ_RAIL = 52, COST_BRIDGE = 210, COST_ADJ_OBST = 76, MAX_BRIDGE_LEN = 12, MAX_TUNNEL_LEN = 3
id = 20, result = 264689.125, COST_COAST = 16, MAX_COST = 9295524, COST_DIAGONAL = 43, COST_TILE = 178, COST_TURN = 81, COST_SLOPE = 188, COST_TUNNEL = 197, COST_NO_ADJ_RAIL = 59, COST_BRIDGE = 240, COST_ADJ_OBST = 75, MAX_BRIDGE_LEN = 15, MAX_TUNNEL_LEN = 4
id = 21, result = 560385.5, COST_COAST = 12, MAX_COST = 9295524, COST_DIAGONAL = 43, COST_TILE = 199, COST_TURN = 87, COST_SLOPE = 174, COST_TUNNEL = 197, COST_NO_ADJ_RAIL = 60, COST_BRIDGE = 218, COST_ADJ_OBST = 75, MAX_BRIDGE_LEN = 12, MAX_TUNNEL_LEN = 3
id = 22, result = 398250.25, COST_COAST = 12, MAX_COST = 9295524, COST_DIAGONAL = 43, COST_TILE = 194, COST_TURN = 87, COST_SLOPE = 174, COST_TUNNEL = 197, COST_NO_ADJ_RAIL = 62, COST_BRIDGE = 168, COST_ADJ_OBST = 75, MAX_BRIDGE_LEN = 12, MAX_TUNNEL_LEN = 3
id = 23, result = 384159.75, COST_COAST = 13, MAX_COST = 7474151, COST_DIAGONAL = 43, COST_TILE = 194, COST_TURN = 78, COST_SLOPE = 174, COST_TUNNEL = 197, COST_NO_ADJ_RAIL = 63, COST_BRIDGE = 216, COST_ADJ_OBST = 55, MAX_BRIDGE_LEN = 12, MAX_TUNNEL_LEN = 4
id = 24, result = 483220.75, COST_COAST = 13, MAX_COST = 9295524, COST_DIAGONAL = 71, COST_TILE = 181, COST_TURN = 87, COST_SLOPE = 174, COST_TUNNEL = 197, COST_NO_ADJ_RAIL = 52, COST_BRIDGE = 216, COST_ADJ_OBST = 75, MAX_BRIDGE_LEN = 12, MAX_TUNNEL_LEN = 3
id = 25, result = 524636.125, COST_COAST = 13, MAX_COST = 10882354, COST_DIAGONAL = 43, COST_TILE = 194, COST_TURN = 87, COST_SLOPE = 174, COST_TUNNEL = 197, COST_NO_ADJ_RAIL = 52, COST_BRIDGE = 216, COST_ADJ_OBST = 75, MAX_BRIDGE_LEN = 12, MAX_TUNNEL_LEN = 3
id = 26, result = 361144.125, COST_COAST = 13, MAX_COST = 9295524, COST_DIAGONAL = 43, COST_TILE = 194, COST_TURN = 87, COST_SLOPE = 174, COST_TUNNEL = 152, COST_NO_ADJ_RAIL = 85, COST_BRIDGE = 216, COST_ADJ_OBST = 75, MAX_BRIDGE_LEN = 12, MAX_TUNNEL_LEN = 3
id = 27, result = 365349.5, COST_COAST = 13, MAX_COST = 9295524, COST_DIAGONAL = 115, COST_TILE = 194, COST_TURN = 73, COST_SLOPE = 174, COST_TUNNEL = 197, COST_NO_ADJ_RAIL = 52, COST_BRIDGE = 216, COST_ADJ_OBST = 71, MAX_BRIDGE_LEN = 12, MAX_TUNNEL_LEN = 3
id = 28, result = 236726.75, COST_COAST = 14, COST_DIAGONAL = 110, MAX_COST = 12175698, COST_TILE = 125, COST_TURN = 44, COST_SLOPE = 80, COST_TUNNEL = 204, MAX_BRIDGE_LEN = 17, COST_BRIDGE = 269, COST_ADJ_OBST = 7, COST_NO_ADJ_RAIL = 97, MAX_TUNNEL_LEN = 11
id = 29, result = 614201.5, COST_COAST = 38, COST_DIAGONAL = 59, MAX_COST = 12722597, COST_TILE = 179, COST_TURN = 62, COST_SLOPE = 161, COST_TUNNEL = 221, MAX_BRIDGE_LEN = 20, COST_BRIDGE = 160, COST_ADJ_OBST = 67, COST_NO_ADJ_RAIL = 26, MAX_TUNNEL_LEN = 6
id = 30, result = 538750.125, COST_COAST = 11, COST_DIAGONAL = 40, MAX_COST = 13317438, COST_TILE = 168, COST_TURN = 29, COST_SLOPE = 147, COST_TUNNEL = 83, MAX_BRIDGE_LEN = 5, COST_BRIDGE = 206, COST_ADJ_OBST = 23, COST_NO_ADJ_RAIL = 8, MAX_TUNNEL_LEN = 19
id = 31, result = 130868.5, COST_COAST = 14, COST_DIAGONAL = 101, MAX_COST = 19842708, COST_TILE = 52, COST_TURN = 42, COST_SLOPE = 108, COST_TUNNEL = 99, MAX_BRIDGE_LEN = 9, COST_BRIDGE = 125, COST_ADJ_OBST = 10, COST_NO_ADJ_RAIL = 50, MAX_TUNNEL_LEN = 4
id = 32, result = 344772.0, COST_COAST = 26, COST_DIAGONAL = 114, MAX_COST = 13222074, COST_TILE = 142, COST_TURN = 36, COST_SLOPE = 107, COST_TUNNEL = 209, MAX_BRIDGE_LEN = 6, COST_BRIDGE = 95, COST_ADJ_OBST = 55, COST_NO_ADJ_RAIL = 86, MAX_TUNNEL_LEN = 10
id = 33, result = 465270.875, COST_COAST = 11, COST_DIAGONAL = 112, MAX_COST = 12831373, COST_TILE = 80, COST_TURN = 74, COST_SLOPE = 142, COST_TUNNEL = 164, MAX_BRIDGE_LEN = 14, COST_BRIDGE = 152, COST_ADJ_OBST = 74, COST_NO_ADJ_RAIL = 24, MAX_TUNNEL_LEN = 20
